
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_ray
	# fitting method     	= differential evolution
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# generations        	= 122 + 1
	# function evals     	= 22260
	# fit duration       	= 62862.06 seconds
	# chi-square         	= 0.00029753
	# reduced chi-square 	= 0.00000208
#Variables----------------------------------------------------------------------
	# c11 : 89.757 GPa (init = [[70, 100], GPa])
	# c12 : 25.276 GPa (init = [[10, 40], GPa])
	# c13 : 40.987 GPa (init = [[25, 55], GPa])
	# c22 : 143.935 GPa (init = [[125, 155], GPa])
	# c23 : 31.839 GPa (init = [[15, 60], GPa])
	# c33 : 95.988 GPa (init = [[75, 105], GPa])
	# c44 : 28.099 GPa (init = [[15, 45], GPa])
	# c55 : 53.402 GPa (init = [[37, 67], GPa])
	# c66 : 30.594 GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : -86.59120000 GPa
	# angle_y : -75.20310000 GPa
	# angle_z : -64.15210000 GPa

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
107     4.436208     4.441571     0.121        1.0     0.204243     0.000219     -0.115792    0.12626      -0.039361    0.222846     0.252236     0.102794     0.246556     
108     4.449224     4.445192     0.091        1.0     0.312171     -0.012666    -0.191614    0.122956     -0.033542    0.297361     0.189841     0.139401     0.176092     
109     4.466907     4.461768     0.115        1.0     0.178946     -0.006863    -0.081288    0.161035     -0.04425     0.176044     0.23475      0.15768      0.223946     
110     4.478809     4.467212     0.26         1.0     0.194859     -0.003497    -0.098712    0.151899     -0.050806    0.215768     0.244912     0.191111     0.154468     
111     4.489818     4.494157     0.097        1.0     0.327222     -0.006224    -0.204609    0.093536     -0.024142    0.295141     0.207768     0.14723      0.164078     
112     4.498095     4.506928     0.196        1.0     0.295461     -0.015296    -0.162491    0.14053      -0.040112    0.264037     0.170602     0.144667     0.202601     
113     4.518615     4.517024     0.035        1.0     0.225311     -0.022716    -0.12901     0.176466     -0.047566    0.274715     0.180894     0.11733      0.224576     
114     4.535192     4.54259      0.163        1.0     0.224521     -0.016091    -0.127191    0.125905     -0.019253    0.191401     0.160759     0.170907     0.289041     
115     4.55608      4.55492      0.025        1.0     0.201141     -0.002992    -0.10633     0.092259     -0.024498    0.199614     0.181361     0.239073     0.220371     
116     4.563743     4.567838     0.09         1.0     0.276172     -0.005377    -0.167332    0.113791     -0.034512    0.265575     0.222264     0.101268     0.22815      
117     4.591479     4.597372     0.128        1.0     0.27719      -0.026542    -0.129391    0.142075     -0.029557    0.223905     0.178596     0.146296     0.217429     
118     4.597291     4.600298     0.065        1.0     0.279657     -0.016808    -0.178789    0.112487     -0.017363    0.2959       0.219044     0.12179      0.18408      
119     4.6096       4.614313     0.102        1.0     0.289971     -0.016321    -0.148527    0.123426     -0.016166    0.22038      0.161071     0.1517       0.234465     
120     4.627621     4.634025     0.138        1.0     0.145603     -0.010112    -0.074166    0.194593     -0.0585      0.234651     0.314673     0.078434     0.174825     
121     4.648203     4.658545     0.222        1.0     0.226582     -0.030909    -0.102136    0.162791     -0.041043    0.261027     0.177925     0.133419     0.212345     
122     4.661205     4.666133     0.106        1.0     0.253422     -0.02568     -0.120903    0.176277     -0.041218    0.26195      0.196844     0.147151     0.152156     
123     4.692781     4.693069     0.006        1.0     0.254432     -0.018829    -0.114472    0.127225     -0.027635    0.195469     0.221084     0.171347     0.191379     
124     4.707399     4.709218     0.039        1.0     0.275439     0.000893     -0.15667     0.11899      -0.041044    0.261218     0.179327     0.153066     0.208781     
125     4.715167     4.7174       0.047        1.0     0.215155     -0.01666     -0.115833    0.120379     -0.018821    0.205959     0.233743     0.144157     0.231921     
126     4.727251     4.720911     0.134        1.0     0.273149     -0.02339     -0.167226    0.186556     -0.054179    0.332451     0.177915     0.09335      0.181373     
127     4.733312     4.73607      0.058        1.0     0.273896     -0.015909    -0.167867    0.186102     -0.058539    0.342593     0.18214      0.102903     0.15468      
128     4.759241     4.756221     0.063        1.0     0.273689     -0.012616    -0.165147    0.11837      -0.030555    0.293213     0.235686     0.134714     0.152646     
129     4.766744     4.758668     0.17         1.0     0.225178     -0.017906    -0.106045    0.156124     -0.040105    0.236622     0.20841      0.11856      0.219163     
