
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_lmfit
	# fitting method     	= leastsq
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# function evals     	= 94
	# fit duration       	= 1305.79 seconds
	# chi-square         	= 0.00034241
	# reduced chi-square 	= 0.00000239
#Variables----------------------------------------------------------------------
	# c11 : (89.658 +- 0.015) GPa (init = [[70, 100], GPa])
	# c12 : (25.277 +- 0.001) GPa (init = [[10, 40], GPa])
	# c13 : (40.997 +- 0.003) GPa (init = [[25, 55], GPa])
	# c22 : (143.989 +- 0.016) GPa (init = [[125, 155], GPa])
	# c23 : (31.981 +- 0.013) GPa (init = [[15, 60], GPa])
	# c33 : (95.898 +- 0.028) GPa (init = [[75, 105], GPa])
	# c44 : (28.053 +- 0.006) GPa (init = [[15, 45], GPa])
	# c55 : (53.406 +- 0.003) GPa (init = [[37, 67], GPa])
	# c66 : (30.585 +- 0.002) GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 88.97059856 deg
	# angle_y : 76.58791088 deg
	# angle_z : 60.33777973 deg

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
58      3.441372     3.442572     0.035        1.0     0.261074     8.4e-05      -0.129056    0.129483     -0.016645    0.166354     0.135094     0.202758     0.250854     
59      3.444665     3.456959     0.356        1.0     0.277146     -0.020139    -0.1279      0.152337     -0.025734    0.204746     0.207868     0.13962      0.192057     
60      3.473987     3.469494     0.129        1.0     0.282443     0.000374     -0.168971    0.148762     -0.049014    0.303503     0.195573     0.140688     0.146641     
61      3.486879     3.481648     0.15         1.0     0.300234     0.013105     -0.204403    0.090459     -0.034098    0.310272     0.206368     0.168307     0.149756     
62      3.526551     3.526749     0.006        1.0     0.268677     0.005912     -0.168852    0.08558      -0.023507    0.253843     0.151542     0.171885     0.25492      
63      3.554907     3.553548     0.038        1.0     0.201155     -0.025457    -0.087215    0.154306     -0.012442    0.155271     0.330956     0.135121     0.148304     
64      3.564589     3.572375     0.218        1.0     0.274013     0.00206      -0.158396    0.16468      -0.017696    0.253506     0.193918     0.121078     0.166837     
65      3.580537     3.581159     0.017        1.0     0.207913     -0.014206    -0.094982    0.151048     -0.040403    0.22482      0.233979     0.143865     0.187967     
66      3.618677     3.62233      0.101        1.0     0.324359     -0.021006    -0.173109    0.128821     -0.021267    0.221136     0.165693     0.115954     0.259419     
67      3.64321      3.648722     0.151        1.0     0.270719     -0.024544    -0.117372    0.182614     -0.03923     0.238791     0.162794     0.096892     0.229336     
68      3.651767     3.657979     0.17         1.0     0.252001     -0.018842    -0.094595    0.118843     -0.026242    0.234841     0.23414      0.163248     0.136605     
69      3.663146     3.662622     0.014        1.0     0.232029     -0.006861    -0.130232    0.166465     -0.03214     0.223786     0.279058     0.093863     0.174033     
70      3.70535      3.704995     0.01         1.0     0.151887     -0.004784    -0.087003    0.156243     -0.059107    0.273664     0.267117     0.101271     0.200712     
71      3.734984     3.734081     0.024        1.0     0.255736     -0.0074      -0.163709    0.124898     -0.031012    0.25337      0.279736     0.093469     0.194913     
72      3.751292     3.747417     0.103        1.0     0.176854     -0.007539    -0.094941    0.151704     -0.025595    0.203903     0.35779      0.079685     0.158139     
73      3.772155     3.774662     0.066        1.0     0.317288     -0.034393    -0.161808    0.176846     -0.015468    0.225943     0.156782     0.082547     0.252263     
74      3.794777     3.791958     0.074        1.0     0.322257     -0.015662    -0.19722     0.121382     -0.019237    0.267506     0.121312     0.095088     0.304574     
